ID	Object.Symbol	Object.Name	Phenol.HS.logFC	Phenol.HS.p.value	Phenol.HS.FDR	RNeasy.HS.logFC	RNeasy.HS.p.value	RNeasy.HS.FDR	Direct.zol.HS.logFC	Direct.zol.HS.p.value	Direct.zol.HS.FDR	DB	Object.ID	Object.Synonym	Object.Type	Taxon	GO.ID
YAL013W	DEP1	Component of the Rpd3L histone deacetylase complex	-0.189489676083834	0.0996647087187597	0.127457917250353	-0.0257124686954057	0.815511165300947	0.842642235577638	0.0981014940707077	0.377469800704569	0.427667965669913	SGD	S000000011	YAL013W|FUN54|Rpd3L histone deacetylase complex subunit DEP1	protein	taxon:559292	GO:0000122|GO:0000122|GO:0000122|GO:0000122|GO:0000122|GO:0000122|GO:0000122|GO:0003674|GO:0005634|GO:0005634|GO:0005634|GO:0005654|GO:0005737|GO:0005737|GO:0005739|GO:0006325|GO:0006357|GO:0006357|GO:0030174|GO:0033698|GO:0033698|GO:0033698|GO:0033698|GO:0045944|GO:0045944|GO:0045944|GO:0045944|GO:0045944|GO:0045944|GO:0061186|GO:0061188|GO:0070210
YAL014C	SYN8	Endosomal SNARE related to mammalian syntaxin 8	0.363109232767011	0.0044686086864111204	0.00715318598015634	0.337199750074582	0.0075027028013611	0.0115493728014763	0.408510336305015	0.00159735181225642	0.00269575974181508	SGD	S000000012	YAL014C|SLT2|UIP2|syntaxin	protein	taxon:559292	GO:0005484|GO:0005484|GO:0005737|GO:0005768|GO:0005768|GO:0005829|GO:0006896|GO:0006896|GO:0006896|GO:0010008|GO:0015031|GO:0016020|GO:0016192
YAL015C	NTG1	DNA N-glycosylase and apurinic/apyrimidinic (AP) lyase	0.484105415940849	8.60838780451807e-5	1.74727650112452e-4	0.513068882737203	2.71077633433242e-5	5.87601812501157e-5	0.624684333335807	2.00203846341158e-6	5.12141433844e-6	SGD	S000000013	YAL015C|FUN33|SCR1|ogg2|bifunctional N-glycosylase/AP lyase NTG1	protein	taxon:559292	GO:0000702|GO:0000703|GO:0000703|GO:0003677|GO:0003677|GO:0003824|GO:0003906|GO:0003906|GO:0003906|GO:0005634|GO:0005634|GO:0005634|GO:0005634|GO:0005634|GO:0005634|GO:0005634|GO:0005739|GO:0005739|GO:0005739|GO:0005739|GO:0005739|GO:0005739|GO:0005739|GO:0005739|GO:0006281|GO:0006281|GO:0006281|GO:0006281|GO:0006284|GO:0006284|GO:0006285|GO:0006285|GO:0006285|GO:0006285|GO:0006974|GO:0008152|GO:0008534|GO:0016787|GO:0016798|GO:0016829|GO:0019104|GO:0034599|GO:0090297|GO:0090297|GO:0140078
YAL016W	TPD3	Regulatory subunit A of the heterotrimeric PP2A complex	0.615980165956608	4.96457942938232e-8	1.71122027307541e-7	0.50325970539051	1.0851102422082e-6	2.89132869803091e-6	0.401183719123797	2.38632171721611e-5	5.21702364247991e-5	SGD	S000000014	YAL016W|FUN32|protein phosphatase 2A structural subunit TPD3	protein	taxon:559292	GO:0000159|GO:0000159|GO:0004722|GO:0005634|GO:0005737|GO:0005816|GO:0005934|GO:0005935|GO:0006417|GO:0007094|GO:0043332
YAL017W	PSK1	PAS domain-containing serine/threonine protein kinase	1.44677552086408	2.9065970380131e-12	3.6071299393524e-11	1.32734385132913	1.4421833208941201e-11	1.33527067723162e-10	1.35406019363688	1.1346035610238e-11	1.08825537634146e-10	SGD	S000000015	YAL017W|FUN31|serine/threonine protein kinase PSK1	protein	taxon:559292	GO:0000166|GO:0004672|GO:0004672|GO:0004672|GO:0004674|GO:0004674|GO:0004674|GO:0005524|GO:0005524|GO:0005737|GO:0005737|GO:0005737|GO:0005737|GO:0006417|GO:0006468|GO:0006468|GO:0016301|GO:0016310|GO:0016740|GO:0045719|GO:0060917
YAL019W	FUN30	Snf2p family member with ATP-dependent chromatin remodeling activity	-1.08955243428486	5.33770623631644e-10	3.01852944192461e-9	-1.12596957554756	2.50708943832241e-10	1.47019130898627e-9	-1.11505279747855	3.24837800986056e-10	1.86575136182794e-9	SGD	S000000017	YAL019W|DNA-dependent ATPase FUN30	protein	taxon:559292	GO:0000122|GO:0000166|GO:0000183|GO:0000729|GO:0000729|GO:0000775|GO:0000781|GO:0003677|GO:0003677|GO:0003682|GO:0004386|GO:0005524|GO:0005524|GO:0005634|GO:0005634|GO:0005634|GO:0005634|GO:0005694|GO:0005694|GO:0005739|GO:0005739|GO:0006281|GO:0006325|GO:0006338|GO:0006338|GO:0006338|GO:0006974|GO:0016787|GO:0030466|GO:0031507|GO:0031509|GO:0031934|GO:0033120|GO:0140658|GO:0140658|GO:0140658|GO:0140658
YAL020C	ATS1	Protein required for modification of wobble nucleosides in tRNA	0.125879401646484	0.207107636473768	0.249378836123285	0.111524171549064	0.270610544694806	0.316494101884541	0.0954481195128198	0.342945053328546	0.39187998112489	SGD	S000000018	YAL020C|FUN28|KTI13	protein	taxon:559292	GO:0002098|GO:0003674|GO:0005737|GO:0005737|GO:0005737|GO:0008033
YAL021C	CCR4	Component of the CCR4-NOT transcriptional complex	-0.138194217167137	0.118677469808288	0.149846579430985	-0.131283226840359	0.137626571913272	0.171594727512937	-0.028211967790565	0.744038778440177	0.778244410093342	SGD	S000000019	YAL021C|FUN27|NUT21|CCR4-NOT core exoribonuclease subunit CCR4	protein	taxon:559292	GO:0000076|GO:0000076|GO:0000175|GO:0000175|GO:0000175|GO:0000175|GO:0000288|GO:0000288|GO:0000289|GO:0000289|GO:0000289|GO:0000932|GO:0003723|GO:0003824|GO:0003824|GO:0004518|GO:0004527|GO:0004535|GO:0005634|GO:0005634|GO:0005737|GO:0005737|GO:0005737|GO:0005737|GO:0006260|GO:0006260|GO:0006260|GO:0006260|GO:0006357|GO:0006357|GO:0006357|GO:0006357|GO:0006357|GO:0006368|GO:0006368|GO:0006368|GO:0006368|GO:0006368|GO:0007089|GO:0016593|GO:0016787|GO:0030015|GO:0032968|GO:0046872
YAL022C	FUN26	High affinity, broad selectivity, nucleoside/nucleobase transporter	-0.0355676381968135	0.55803739769627	0.606158313189693	-0.142100789534275	0.0284863701542059	0.0398795594574741	-0.0671310501859155	0.279593949555333	0.325638191247977	SGD	S000000020	YAL022C|nucleoside transmembrane transporter FUN26	protein	taxon:559292	GO:0000329|GO:0000329|GO:0000329|GO:0005337|GO:0005337|GO:0005337|GO:0005337|GO:0005337|GO:0005337|GO:0015205|GO:0015205|GO:0015205|GO:0015205|GO:0015205|GO:0015205|GO:0015205|GO:0015851|GO:0015851|GO:0015851|GO:0015851|GO:0015851|GO:0015851|GO:0015851|GO:0015858|GO:0015858|GO:0015858|GO:0016020|GO:0016020|GO:0016020|GO:0016020|GO:0034257|GO:0034258|GO:0055085|GO:1901642|GO:1901642
YAL023C	PMT2	Protein O-mannosyltransferase of the ER membrane	-0.784169675256231	1.3099219241097e-8	5.12616112968264e-8	-0.761889729752595	2.17769313910892e-8	7.81838454224427e-8	-0.774931066787628	1.62781189456678e-8	6.14090991073715e-8	SGD	S000000021	YAL023C|FUN25|dolichyl-phosphate-mannose-protein mannosyltransferase PMT2	protein	taxon:559292	GO:0000030|GO:0004169|GO:0004169|GO:0004169|GO:0004169|GO:0004169|GO:0004169|GO:0004169|GO:0004169|GO:0005783|GO:0005783|GO:0005789|GO:0006486|GO:0006493|GO:0006493|GO:0016020|GO:0016020|GO:0016740|GO:0016757|GO:0032527|GO:0035269|GO:0035269|GO:0035269|GO:0035269|GO:0035269|GO:0035269|GO:0071712|GO:0071712|GO:0071712|GO:0097582|GO:0097582|GO:0097582|GO:0097584|GO:1900101|GO:1900101|GO:1900101|GO:1900101
YAL024C	LTE1	Protein similar to GDP/GTP exchange factors	-0.28464397430595	9.76899190082545e-4	0.00170463681503702	-0.2761588099603	0.0010752959237452	0.00185701296627959	-0.251756780281733	0.00271252192271756	0.00442168944358569	SGD	S000000022	YAL024C|MSI2|mitotic regulator LTE1	protein	taxon:559292	GO:0005085|GO:0005085|GO:0005085|GO:0005085|GO:0005085|GO:0005085|GO:0005085|GO:0005085|GO:0005737|GO:0005737|GO:0005933|GO:0005933|GO:0007049|GO:0007264|GO:0007264|GO:0007264|GO:0007264|GO:0016192|GO:0031536|GO:0051301|GO:0061510
YAL025C	MAK16	Essential nuclear protein	-1.73988849372446	3.01076696558983e-9	1.35947708369326e-8	-1.7659168176217	1.42013403243503e-9	6.71190561223321e-9	-1.66310512593202	4.21124994617586e-9	1.79782088611289e-8	SGD	S000000023	YAL025C|ribosome biosynthesis protein MAK16	protein	taxon:559292	GO:0000463|GO:0000466|GO:0003674|GO:0005634|GO:0005634|GO:0005730|GO:0007049|GO:0030687|GO:0042273
YAL026C	DRS2	Trans-golgi network aminophospholipid translocase (flippase)	-0.34096658704588	2.36103331780855e-6	6.13513305689958e-6	-0.285745372930563	2.51891052251912e-5	5.48442313322968e-5	-0.393150192539241	3.15571607829923e-7	9.18337730894584e-7	SGD	S000000024	YAL026C|SWA3|FUN38|aminophospholipid-translocating P4-type ATPase DRS2	protein	taxon:559292	GO:0000166|GO:0000166|GO:0000287|GO:0005524|GO:0005524|GO:0005524|GO:0005783|GO:0005794|GO:0005794|GO:0005802|GO:0005802|GO:0005802|GO:0006892|GO:0006892|GO:0006892|GO:0006897|GO:0006897|GO:0006897|GO:0015914|GO:0016020|GO:0016020|GO:0016020|GO:0016887|GO:0032456|GO:0045332|GO:0045332|GO:0045332|GO:0090555|GO:0090555|GO:0110165|GO:0140326|GO:0140326|GO:0140331|GO:0140345|GO:0140346|GO:0140346|GO:0140346|GO:0140346|GO:1990530
YAL027W	SAW1	5'- and 3'-flap DNA binding protein	0.124318957589125	0.265782985755477	0.312654534345621	-0.142586948859234	0.15970531565616	0.196369962903574	0.110925651982926	0.268610360728569	0.314092194716474	SGD	S000000025	YAL027W|DNA-binding protein SAW1	protein	taxon:559292	GO:0000736|GO:0000736|GO:0000736|GO:0005634|GO:0005634|GO:0005634|GO:0006281|GO:0006974|GO:0070336|GO:0070337|GO:0070338
YAL028W	FRT2	Tail-anchored ER membrane protein of unknown function	1.59129909928518	1.08699541321649e-9	5.6069095567494e-9	1.57834003684855	9.84749549308222e-10	4.87461267547256e-9	1.70091336576494	2.99725498027226e-10	1.7385263571342e-9	SGD	S000000026	YAL028W|HPH2	protein	taxon:559292	GO:0003674|GO:0005783|GO:0005783|GO:0005783|GO:0005789|GO:0016020|GO:0031204|GO:0071469|GO:0071472
YAL029C	MYO4	Type V myosin motor involved in actin-based transport of cargos	-0.500563152291526	1.64481100773837e-4	3.19486706575823e-4	-0.428889170792113	7.59690126280853e-4	0.00134278260803029	-0.527778249614259	9.9315254997335e-5	1.98562856551211e-4	SGD	S000000027	YAL029C|FUN22|SHE1|myosin 4	protein	taxon:559292	GO:0000146|GO:0000166|GO:0003774|GO:0003774|GO:0003779|GO:0005516|GO:0005524|GO:0005524|GO:0005524|GO:0005739|GO:0005739|GO:0005933|GO:0005933|GO:0005933|GO:0005934|GO:0006996|GO:0007533|GO:0008298|GO:0008298|GO:0008298|GO:0008298|GO:0008298|GO:0015629|GO:0016459|GO:0016459|GO:0016459|GO:0031941|GO:0048309|GO:0048309|GO:0051015|GO:0051028|GO:0051641
YAL030W	SNC1	Vesicle membrane receptor protein (v-SNARE)	0.994487835212327	6.02877087804971e-10	3.35439668759733e-9	0.906730206316102	2.78115262559289e-9	1.20592134255261e-8	1.0311099850892	2.45847367371116e-10	1.47709728400046e-9	SGD	S000000028	YAL030W|SNAP receptor SNC1	protein	taxon:559292	GO:0005484|GO:0005768|GO:0005802|GO:0005802|GO:0005829|GO:0005829|GO:0005886|GO:0005886|GO:0005933|GO:0005935|GO:0006887|GO:0006893|GO:0006897|GO:0006906|GO:0006906|GO:0012505|GO:0016020|GO:0016020|GO:0016192|GO:0030658|GO:0031201|GO:0031201|GO:0071944
YAL031C	GIP4	Cytoplasmic protein that regulates protein phosphatase 1 Glc7p	0.463484349968325	3.75273429905582e-5	8.0749817945226e-5	0.441983437322973	5.69440554947546e-5	1.17614921095781e-4	0.592666596638878	1.2354212734518e-6	3.27844614609496e-6	SGD	S000000029	YAL031C|FUN21|protein phosphatase regulator GIP4	protein	taxon:559292	GO:0005737|GO:0005737|GO:0005737|GO:0005737|GO:0007059|GO:0008157|GO:0008157|GO:0019888|GO:0019888
YAL032C	PRP45	Protein required for pre-mRNA splicing	-0.0919827550828656	0.386451351799435	0.436832165427052	-0.132266117944511	0.205427582050239	0.246325167258472	0.0445550240750534	0.66625918244204	0.707094811233913	SGD	S000000030	YAL032C|mRNA splicing protein PRP45|FUN20	protein	taxon:559292	GO:0000350|GO:0000350|GO:0000350|GO:0000350|GO:0000350|GO:0000350|GO:0000350|GO:0000350|GO:0000350|GO:0000384|GO:0000386|GO:0000398|GO:0000398|GO:0005634|GO:0005634|GO:0005634|GO:0005681|GO:0005681|GO:0005681|GO:0006397|GO:0008380|GO:0071006|GO:0071007|GO:0071014
YAL033W	POP5	Subunit of both RNase MRP and nuclear RNase P	-1.30283592420264	1.83876692568076e-9	8.91293299235843e-9	-1.31031997032011	8.60180501431187e-10	4.32670055132911e-9	-1.24170608341825	2.8928427479806e-9	1.27484886866713e-8	SGD	S000000031	YAL033W|RNA-binding protein POP5|FUN53	protein	taxon:559292	GO:0000171|GO:0000171|GO:0000172|GO:0000172|GO:0000172|GO:0000172|GO:0000172|GO:0000172|GO:0000294|GO:0001682|GO:0001682|GO:0003723|GO:0004526|GO:0004526|GO:0004526|GO:0005634|GO:0005634|GO:0005655|GO:0005737|GO:0005737|GO:0006364|GO:0006364|GO:0008033|GO:0008033|GO:0008033|GO:0016787|GO:0030677|GO:0033204|GO:0034965|GO:1902555|GO:1990904
YAL034C	FUN19	Non-essential protein of unknown function	0.799691210645006	4.38124875914516e-5	9.31134330781393e-5	1.06528833129243	9.02074565539188e-7	2.43121106506659e-6	0.952235285676554	4.19252014363876e-6	1.02499347118532e-5	SGD	S000002134	YAL034C	protein	taxon:559292	GO:0003674|GO:0005575|GO:0008150|GO:0045893
YAL034W-A	MTW1	Essential component of the MIND kinetochore complex	-0.994576379438474	8.03687382357163e-6	1.91930225160152e-5	-0.783175882589419	4.19923241729629e-5	8.82545445382356e-5	-0.622155010637432	6.21997015434506e-4	0.00110807966027331	SGD	S000000032	YAL034W-A|DSN3|NSL2|MIND complex subunit MTW1	protein	taxon:559292	GO:0000278|GO:0000444|GO:0000775|GO:0000775|GO:0000776|GO:0000922|GO:0000922|GO:0003674|GO:0005634|GO:0005694|GO:0005737|GO:0005856|GO:0007049|GO:0007059|GO:0034501|GO:0034501|GO:0034501|GO:0034501|GO:0034501|GO:0034501|GO:0034501|GO:0034501|GO:0034501|GO:0051301
YAL035W	FUN12	Translation initiation factor eIF5B	-1.30116083155276	1.2695588549679e-13	2.85529137113471e-12	-1.21493579765506	4.62865574323646e-13	7.38392165888369e-12	-1.21452617556977	4.65745537347693e-13	7.9474601867179e-12	SGD	S000000033	YAL035W|eIF5B|yIF2|translation initiation factor eIF5B	protein	taxon:559292	GO:0000166|GO:0000462|GO:0001732|GO:0001732|GO:0001732|GO:0001732|GO:0003743|GO:0003743|GO:0003743|GO:0003924|GO:0003924|GO:0003924|GO:0003924|GO:0003924|GO:0003924|GO:0005525|GO:0005525|GO:0005525|GO:0005525|GO:0005525|GO:0005525|GO:0005737|GO:0005737|GO:0005737|GO:0005739|GO:0005739|GO:0005829|GO:0006412|GO:0006413|GO:0006446|GO:0010494|GO:0016787|GO:0022627|GO:0031369|GO:0033290|GO:0042255|GO:0042256|GO:0043022|GO:0043022|GO:0046872|GO:0070181
YAL036C	RBG1	Member of the DRG family of GTP-binding proteins	-1.53768563721029	2.6639534147353e-10	1.69787258897896e-9	-1.64977723374636	6.78141954250925e-11	4.83093843622928e-10	-1.64043741988482	7.27352807886191e-11	5.23872513164655e-10	SGD	S000000034	YAL036C|FUN11|GTP-binding protein RBG1	protein	taxon:559292	GO:0000166|GO:0002181|GO:0002181|GO:0002181|GO:0003924|GO:0005525|GO:0005525|GO:0005525|GO:0005525|GO:0005525|GO:0005525|GO:0005525|GO:0005737|GO:0005737|GO:0005737|GO:0005777|GO:0005844|GO:0005844|GO:0010494|GO:1903833
YAL037W	YAL037W	Putative protein of unknown function	0.424724771379893	0.0614969034966867	0.0815221156748796	-0.2063691706648	0.295117132007011	0.342156343053753	0.137394077306272	0.487290895840318	0.537466658884379	SGD	S000000035	YAL037W	protein	taxon:559292	GO:0003674|GO:0005575|GO:0008150
YAL038W	CDC19	Pyruvate kinase	-1.12516428711539	2.12011834115366e-11	1.92947204070884e-10	-1.14607193549286	1.50949875869838e-11	1.39320089835841e-10	-1.06501263624206	5.81369146686982e-11	4.29803134893272e-10	SGD	S000000036	YAL038W|PYK1|pyruvate kinase CDC19	protein	taxon:559292	GO:0000166|GO:0000287|GO:0000287|GO:0003824|GO:0003824|GO:0004743|GO:0004743|GO:0004743|GO:0004743|GO:0004743|GO:0004743|GO:0004743|GO:0005524|GO:0005737|GO:0005737|GO:0005886|GO:0006090|GO:0006096|GO:0006096|GO:0006096|GO:0006096|GO:0006096|GO:0006096|GO:0006096|GO:0008152|GO:0016301|GO:0016310|GO:0016740|GO:0030955|GO:0030955|GO:0032787|GO:0046872
YAL039C	CYC3	Cytochrome c heme lyase (holocytochrome c synthase)	1.0898865749873	1.58468006833019e-11	1.51499543991828e-10	1.13157807553568	5.94251803066084e-12	6.38875106959325e-11	1.06889041915805	1.48140880845452e-11	1.37337738003504e-10	SGD	S000000037	YAL039C|CCHL|holocytochrome c synthase CYC3	protein	taxon:559292	GO:0004408|GO:0004408|GO:0004408|GO:0004408|GO:0004408|GO:0005739|GO:0005739|GO:0005739|GO:0005739|GO:0005743|GO:0005743|GO:0005758|GO:0005758|GO:0016020|GO:0016829|GO:0018063|GO:0046872
YAL040C	CLN3	G1 cyclin involved in cell cycle progression	0.279365438236488	0.0855703485013608	0.11058959614773	0.432129232862659	0.0112756751422255	0.0168503597466557	0.506914761300034	0.00380400071176684	0.00607439721927947	SGD	S000000038	YAL040C|cyclin CLN3|DAF1|FUN10|WHI1	protein	taxon:559292	GO:0000079|GO:0000083|GO:0000083|GO:0000083|GO:0001932|GO:0001932|GO:0005634|GO:0005634|GO:0005634|GO:0005634|GO:0007033|GO:0007049|GO:0007089|GO:0007089|GO:0007089|GO:0007089|GO:0016538|GO:0016538|GO:0016538|GO:0016538|GO:0042144|GO:0042144|GO:0044772|GO:0051301
YAL041W	CDC24	Guanine nucleotide exchange factor (GEF) for Cdc42p	0.126444731160437	0.0609960475109004	0.0809322010797343	0.17574821677831	0.0116952583853067	0.017424153990292	0.254959722200478	6.58213891309546e-4	0.00116834458481616	SGD	S000000039	YAL041W|CLS4|Rho family guanine nucleotide exchange factor CDC24	protein	taxon:559292	GO:0000131|GO:0000282|GO:0000750|GO:0000750|GO:0005085|GO:0005085|GO:0005085|GO:0005085|GO:0005085|GO:0005085|GO:0005634|GO:0005634|GO:0005737|GO:0005737|GO:0005934|GO:0005935|GO:0007096|GO:0016043|GO:0031106|GO:0035556|GO:0043332|GO:0043577|GO:0072697|GO:0120171|GO:0120171
YAL042W	ERV46	Protein localized to COPII-coated vesicles	-0.551515538359367	4.93994988643268e-7	1.43268309453359e-6	-0.622083669455448	7.79201771970055e-8	2.52006303110977e-7	-0.474133123326436	4.53761186398899e-6	1.10293091683708e-5	SGD	S000000040	YAL042W|FUN9	protein	taxon:559292	GO:0000139|GO:0000139|GO:0003674|GO:0005783|GO:0005783|GO:0005789|GO:0005789|GO:0005794|GO:0006888|GO:0015031|GO:0016020|GO:0016192|GO:0030134|GO:0046907
YAL043C	PTA1	Subunit of holo-CPF	0.0653493111886378	0.487821590757134	0.538862013124648	0.0415862389583115	0.658906025299386	0.702338545216523	0.171773094031249	0.0777343112971857	0.101490304117989	SGD	S000000041	YAL043C|FUN39|RNA-processing protein PTA1	protein	taxon:559292	GO:0003723|GO:0005634|GO:0005634|GO:0005847|GO:0005847|GO:0005847|GO:0006378|GO:0006378|GO:0006397|GO:0008033|GO:0008033|GO:0030846
YAL044C	GCV3	H subunit of the mitochondrial glycine decarboxylase complex	0.89168563339633	5.35704072249556e-10	3.0242724229371e-9	0.86380069428627	8.52404337128775e-10	4.30233315472563e-9	0.851904132089226	1.03547035470326e-9	5.16415546483274e-9	SGD	S000000042	YAL044C|glycine decarboxylase subunit H	protein	taxon:559292	GO:0005739|GO:0005739|GO:0005739|GO:0005739|GO:0005739|GO:0005739|GO:0005960|GO:0005960|GO:0005960|GO:0006546|GO:0006730|GO:0009249|GO:0019464|GO:0019464|GO:0031405|GO:0044281
YAL044W-A	BOL1	Mitochondrial matrix protein involved in Fe-S cluster biogenesis	-0.238018098845105	0.0718532471624752	0.0941890488708641	-0.150421450606556	0.233321932178813	0.276910582670771	-0.184231091906622	0.14690187392681	0.181769392906909	SGD	S000007586	YAL044W-A	protein	taxon:559292	GO:0003674|GO:0005739|GO:0005759|GO:0005759|GO:0044572|GO:0044572|GO:0044572|GO:0106035
